Reference,Value,Qty,商品名,販売店(販売コード)
"C1,C2,C3",0.1uF,3,積層セラミックコンデンサー 0.1μF50V X7R 2.54mm,秋月電子(113582)
C4,47uF,1,電解コンデンサー 47μF16V105℃ ルビコンPX,秋月電子(110270)
J1,DIN41612_03x32_ABC,1,CONN DIN RCPT 96POS PCB RA【09732966801】,マルツ
J3,JST_VH_01x05,1,VHコネクター ベース付ポスト トップ型 4P B4P-VH(LF)(SN),秋月電子(112817)
